date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:40	30472/30472	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4a28-7708%22	http://www.themezaa.com/html/pofo/home-portfolio-personal.html	www.themezaa.com/html/pofo/home-portfolio-personal.html	(from )
00:08:40	68/68	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%225f55d2e9-42%22	http://www.themezaa.com/robots.txt		(from )
00:08:40	1285/1285	---M--	200	added ('OK')	image/png	etag:%225c9a2007-505%22	http://www.themezaa.com/html/pofo/images/favicon.png	www.themezaa.com/html/pofo/images/favicon.png	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:41	1570/1570	---M--	200	added ('OK')	image/png	etag:%225c9a1dce-622%22	http://www.themezaa.com/html/pofo/images/apple-touch-icon-57x57.png	www.themezaa.com/html/pofo/images/apple-touch-icon-57x57.png	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:42	1710/1710	---M--	200	added ('OK')	image/png	etag:%225c9a1dce-6ae%22	http://www.themezaa.com/html/pofo/images/apple-touch-icon-72x72.png	www.themezaa.com/html/pofo/images/apple-touch-icon-72x72.png	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:43	2164/2164	---M--	200	added ('OK')	image/png	etag:%225c9a1dcd-874%22	http://www.themezaa.com/html/pofo/images/apple-touch-icon-114x114.png	www.themezaa.com/html/pofo/images/apple-touch-icon-114x114.png	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:44	57995/57995	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb545-e28b%22	http://www.themezaa.com/html/pofo/css/animate.css	www.themezaa.com/html/pofo/css/animate.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:46	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb547-2606e%22	http://www.themezaa.com/html/pofo/css/bootstrap.min.css	www.themezaa.com/html/pofo/css/bootstrap.min.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:47	7068/7068	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb548-1b9c%22	http://www.themezaa.com/html/pofo/css/et-line-icons.css	www.themezaa.com/html/pofo/css/et-line-icons.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:47	55057/55057	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb54a-d711%22	http://www.themezaa.com/html/pofo/css/font-awesome.min.css	www.themezaa.com/html/pofo/css/font-awesome.min.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:48	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb54f-4042%22	http://www.themezaa.com/html/pofo/css/themify-icons.css	www.themezaa.com/html/pofo/css/themify-icons.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:49	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb54f-4d42%22	http://www.themezaa.com/html/pofo/css/swiper.min.css	www.themezaa.com/html/pofo/css/swiper.min.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:50	2515/2515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb54b-9d3%22	http://www.themezaa.com/html/pofo/css/justified-gallery.min.css	www.themezaa.com/html/pofo/css/justified-gallery.min.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:51	5855/5855	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb54c-16df%22	http://www.themezaa.com/html/pofo/css/magnific-popup.css	www.themezaa.com/html/pofo/css/magnific-popup.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:52	30060/30060	---MCZ	200	added ('OK')	text/css	etag:W/%225c9a0d7e-756c%22	http://www.themezaa.com/html/pofo/revolution/css/settings.css	www.themezaa.com/html/pofo/revolution/css/settings.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:53	140793/140793	---MCZ	200	added ('OK')	text/css	etag:W/%225c9a0d7b-225f9%22	http://www.themezaa.com/html/pofo/revolution/css/layers.css	www.themezaa.com/html/pofo/revolution/css/layers.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:54	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%225c9a0d7b-e8b8%22	http://www.themezaa.com/html/pofo/revolution/css/navigation.css	www.themezaa.com/html/pofo/revolution/css/navigation.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:55	25221/25221	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbb545-6285%22	http://www.themezaa.com/html/pofo/css/bootsnav.css	www.themezaa.com/html/pofo/css/bootsnav.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:58	294571/294571	---MCZ	200	added ('OK')	text/css	etag:W/%225f4a52fd-47eab%22	http://www.themezaa.com/html/pofo/css/style.css	www.themezaa.com/html/pofo/css/style.css	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:59	75573/75573	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4956-12735%22	http://www.themezaa.com/html/pofo/index.html	www.themezaa.com/html/pofo/index.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:08:59	3190/3190	---M--	200	added ('OK')	image/png	etag:%225c9a21b8-c76%22	http://www.themezaa.com/html/pofo/images/logo-white.png	www.themezaa.com/html/pofo/images/logo-white.png	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:01	149267/149267	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a49c4-24713%22	http://www.themezaa.com/html/pofo/home-creative-studio.html	www.themezaa.com/html/pofo/home-creative-studio.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:01	49749/49749	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4a2a-c255%22	http://www.themezaa.com/html/pofo/home-portfolio-minimal.html	www.themezaa.com/html/pofo/home-portfolio-minimal.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:02	86417/86417	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a49b8-15191%22	http://www.themezaa.com/html/pofo/home-blog-personal.html	www.themezaa.com/html/pofo/home-blog-personal.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:03	91422/91422	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4969-1651e%22	http://www.themezaa.com/html/pofo/about-us-simple.html	www.themezaa.com/html/pofo/about-us-simple.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:04	79632/79632	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4a01-13710%22	http://www.themezaa.com/html/pofo/services-simple.html	www.themezaa.com/html/pofo/services-simple.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:05	70653/70653	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4989-113fd%22	http://www.themezaa.com/html/pofo/contact-us-simple.html	www.themezaa.com/html/pofo/contact-us-simple.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
00:09:06	89825/89825	---MCZ	200	added ('OK')	text/html	etag:W/%225f4a4a1b-15ee1%22	http://www.themezaa.com/html/pofo/team-simple.html	www.themezaa.com/html/pofo/team-simple.html	(from http://www.themezaa.com/html/pofo/home-portfolio-personal.html)
